Time|Id|Quote time|Quote|Title|Author|SFW
00:00|0000-012|μεσάνυχτα|Το σπίτι είναι άδειο, αλλά ο Γιουτζίν τραγουδάει σαν να είχε για κοινό όλα τα εστεμμένα κεφάλια της Ευρώπης. Η πόρτα του κήπου είναι ανοιχτή και η μυρωδιά των βρεγμένων φύλλων εισχωρεί και η βροχή αναμειγνύεται με την <em>angoisse</em> και την <em>tristesse</em> του Γιουτζίν. Τα μεσάνυχτα, αφού οι θεατές έχουν γεμίσει την αίθουσα με ιδρώτα και άσχημες ανάσες, επιστρέφω για να κοιμηθώ σε ένα παγκάκι. Το φως εξόδου, που κολυμπάει σε ένα φωτοστέφανο καπνού, ρίχνει ένα αχνό φως στην κάτω γωνία της κουρτίνας από αμίαντο. Κλείνω τα μάτια μου κάθε βράδυ με ένα τεχνητό μάτι...|Τροπικός του Καρκίνου|Χένρι Μίλερ|unknown
00:00|0000-013|μεσάνυχτα|Ο Τρέβορ φορούσε μια στολή του Άντι Γουόρχολ: ξανθιά καρέ περούκα, χοντρά μαύρα γυαλιά, στενό ριγέ πουκάμισο. Η πρώτη μου εντύπωση γι' αυτόν ήταν ότι ήταν ελεύθερος νους, έξυπνος, αστείος. Αυτό αποδείχθηκε εντελώς ανακριβές. Φύγαμε από το πάρτι μαζί και περπατήσαμε για ώρες, λέγαμε ψέματα ο ένας στον άλλον για την ευτυχισμένη ζωή μας, φάγαμε πίτσα τα μεσάνυχτα, πήραμε το φέρι του Στάτεν Άιλαντ πέρα δώθε και παρακολουθήσαμε τον ήλιο να ανατέλλει.|Η χρονιά μου για ξεκούραση και χαλάρωση|Οτέσα Μόσφεγκ|unknown
00:00|0000-014|μεσάνυχτα|Η Τζ. ήρθε στο κρεβάτι μου τα μεσάνυχτα, και κατά τη διάρκεια των αθλητικών μας αγώνων, η πόρτα μου χτύπησε με ραβδώσεις. Φάρσα φρίκη! Δόξα τω Θεώ που η Τζ. την είχε κλειδώσει καθώς έμπαινε μέσα. Το πόμολο της πόρτας κροτάλισε, άρχισαν τα επίμονα χτύπημα. Ο φόβος μπορεί να καθαρίσει το μυαλό αλλά και να το θολώσει, και θυμούμενος τον <em>Δον Ζουάν</em> μου, έκρυψα την Τζ. σε μια φωλιά από σκεπάσματα και σεντόνια στο κρεμασμένο κρεβάτι μου και άφησα την κουρτίνα μισάνοιχτη για να δείξω ότι δεν είχα τίποτα να κρύψω.|Άτλας των Νεφών|Ντέιβιντ Μίτσελ|nsfw
00:00|0000-015|μεσάνυχτα|Ήταν κάτι σαν ζώο. Ένα πράγμα σαν άγρια φύση. Τίποτα πάνω της δεν ανήκε στον προηγούμενο εαυτό της εκείνη τη στιγμή. Πάνω απ' όλα η φωνή της. Αυτή θα μπορούσε να ήταν η δυνατή κραυγή ενός γερακιού, το ουρλιαχτό που στοιχειώνει την ψυχή ενός λύκου, η βραχνή κραυγή μιας κόκκινης αλεπούς τα μεσάνυχτα. Θα μπορούσε να ήταν οποιοδήποτε από αυτά, αλλά όχι η κραυγή μιας δεκαεξάχρονης μαθήτριας.|Το Νησί των Χαμένων Δέντρων|Ελίφ Σαφάκ|unknown
00:00|0000-016|μεσάνυχτα|Ο Όλιβερ Ντουμπουά έριξε ένα φορτηγάκι στην μπροστινή του πόρτα ένα ιδρωμένο μεσάνυχτα του Ιουλίου, στο τέλος ενός τεράστιου πάρτι στο τετράγωνο.<br>Δεν ήταν το φορτηγό του, και ο δρόμος ήταν κλειστός για την κυκλοφορία, οπότε η εμφάνιση του οχήματος από το σκοτάδι και η αργή βουή στην οδό Όουκ Ντράιβ σκόρπισε γείτονες και επισκέπτες σε μπερδεμένες ομάδες σε γκαζόν φωτισμένα με κεριά.|Πίσω από το ψέμα|Έμιλια Νέιμαρκ|unknown
00:00|0000-017|Μεσάνυχτα|Κοίταξε την ψηφιακή οθόνη του ρολογιού της.<br>00:00:00<br>Μεσάνυχτα, όπως της είχε πει το ρολόι.<br>Περίμενε να φτάσει το επόμενο δευτερόλεπτο, αλλά δεν έφτασε.|Η Βιβλιοθήκη του Μεσονυχτίου|Ματ Χέιγκ|unknown
00:00|0000-018|μεσάνυχτα|Αντίο, γλυκέ μου φίλε: προσευχήσου για εμάς.<br>Και καλή τύχη να σου χαρίσει ο Δημήτριός σου!<br>Κράτα λόγο, Λύσανδρο: πρέπει να λιμοκτονήσουμε την όρασή μας.<br>Από το φαγητό των εραστών μέχρι αύριο, βαθιά μεσάνυχτα.|Όνειρο Θερινής Νυκτός|Γουίλιαμ Σαίξπηρ|unknown
00:00|0000-019|μεσάνυχτα|Εδώ μπροστά μου ήταν μια απέραντη έκταση κενού χώρου: μόνο η κλειστή πόρτα και εγώ, και μόνο τα αστέρια σκορπισμένα στον ουρανό του μεσονυχτίου για να δουν τι θα έκανα στη συνέχεια. Μήπως αυτά τα κρύα, μακρινά φώτα παρακολουθούσαν με κάποιο ίχνος των ανθρώπων που κάποτε ήταν, εκείνων των ξεχωριστών, εκλεκτών, ευνοημένων που είχαν πλησιάσει το θείο;|Αριάδνη|Τζένιφερ Σεντ|unknown
00:00|0000-020|μεσάνυχτα|Μήπως η γοητεία του αίματος και της έκστασης στο δάσος του μεσονυχτίου την οδήγησε να πλέει πάνω από τα λαμπερά γαλάζια νερά; Αναρωτιόμουν γιατί ήταν εδώ τώρα, στον αμπελώνα.|Αριάδνη|Τζένιφερ Σεντ|unknown
00:00|0000-021|μεσάνυχτα|Κάλεσε την αστυνομία και, όταν οι άντρες ήρθαν, συμπονετικοί, τα μεσάνυχτα, κατέθεσε. Ότι έδωσε σπίτι στον λύκο και βοήθεια στον λυσσασμένο σκύλο.|Η Δύναμη|Ναόμι Δημοτικός Σύμβουλος|unknown
00:00|0000-022|μεσάνυχτα|Ένα Χριστούγεννα μεσάνυχτα στο κουμπί, στο παλιό μέρος, η πόρτα του θαλάμου ανοίγει με θόρυβο. Μπαίνει ένας χοντρός άντρας με γενειάδα, με μάτια κόκκινα από το κρύο και μύτη στο χρώμα κερασιού.|Πέταξε πάνω από τη φωλιά του κούκου|Κεν Κίσεϊ|unknown
00:00|0000-023|μεσάνυχτα|Τα μεσάνυχτα, τα φώτα στην κουζίνα του καφέ μπορεί να είναι ιδιαίτερα έντονα. Χωρίς την άνεση του φωτός της ημέρας που έμπαινε από το βιτρό, όλα στο δωμάτιο φαίνονταν ζοφερά και χρηστικά.|Σούπα ροδιού|Marsha Mehran|unknown
00:00|0000-024|μεσάνυχτα|Μερικές φορές δεν υπάρχει πιο σκοτεινό μέρος από τις δικές μας σκέψεις· τα ασέληνα μεσάνυχτα του μυαλού.|Μη Φοβάσαι Τίποτα: Ένα Μυθιστόρημα|Ντιν Κουντζ|unknown
00:00|0000-025|μεσάνυχτα|«Ξεκινάει τα μεσάνυχτα.»|Παίρνει φωτιά|Suzanne Collins|unknown
00:00|0000-026|μεσάνυχτα|Η αυγή φαινόταν να ακολουθεί τα μεσάνυχτα με άσεμνη βιασύνη.|Χάρι Πότερ και οι Κλήροι του Θανάτου|Τζ. Κ. Ρόουλινγκ|unknown
00:00|0000-027|δώδεκα η ώρα|«Δεν θα ξεχάσω ποτέ τον χαρταετό του Χένρι που πέταξε για εκείνον εκείνη την πολύ θυελλώδη μέρα του περασμένου Πάσχα—και από τότε που έδειξε ιδιαίτερη καλοσύνη τον περασμένο Σεπτέμβριο, όταν έγραψε αυτό το σημείωμα, στις δώδεκα η ώρα το βράδυ, επίτηδες για να με διαβεβαιώσει ότι δεν υπήρχε οστρακιά στο Κόμπαμ, είμαι πεπεισμένη ότι δεν θα μπορούσε να υπάρξει πιο συμπονετική καρδιά ούτε καλύτερος άνθρωπος.—Αν κάποιος μπορεί να τον αξίζει, αυτός πρέπει να είναι η δεσποινίς Τέιλορ.»|Έμμα|Τζέιν Όστεν|unknown
00:00|0000-028|δώδεκα η ώρα|Το βράδυ μετά το ταξίδι του στο Λόρενσβιλ, ένα πλήθος κατευθύνθηκε στη Νέα Υόρκη αναζητώντας περιπέτεια και ξεκίνησε την επιστροφή του στο Πρίνστον περίπου στις δώδεκα η ώρα με δύο μηχανήματα. Ήταν ένα γκέι πάρτι και αναπαρίσταντο διαφορετικά στάδια νηφαλιότητας.|Αυτή η Πλευρά του Παραδείσου|Φ. Σκοτ Φιτζέραλντ|unknown
00:00|0000-029|μεσάνυχτα|Καθώς τα μεσάνυχτα χτυπούσαν χάλκινα χτυπήματα στον σκοτεινό αέρα, ο Ντόριαν Γκρέι, ντυμένος συνήθως και με ένα κασκόλ τυλιγμένο γύρω από το λαιμό του, βγήκε αθόρυβα από το σπίτι του.|Η εικόνα του Ντόριαν Γκρέι|Όσκαρ Γουάιλντ|unknown
00:00|0000-030|μεσάνυχτα|Αλλά περιμένετε να σας πω, είπε. «Φάγαμε και μεσημεριανό γεύμα μετά από όλη αυτή τη χαρά και όταν φύγαμε ήταν η επόμενη μέρα του προηγούμενου βράδυ.»|Οδυσσέας|Τζέιμς Τζόις|unknown
00:00|0000-031|μεσάνυχτα|Μεσάνυχτα, είπες. Τι είναι τα μεσάνυχτα για τους νέους; Και ξαφνικά μια εορταστική φλόγα πετάχτηκε πάνω σε πέντε κορμούς κέδρων, φάνηκαν κομμάτια χιονιού, Και ένα περιπολικό στον ανώμαλο δρόμο μας σταμάτησε απότομα. Ξαναπάρτε, ξαναπάρτε!|Χλωμή φωτιά|Βλαντιμίρ Ναμπόκοφ|unknown
00:00|0000-032|12.00|Το γεγονός ότι ένας άντρας που μόλις και μετά βίας μπορούσε να δει κάτι σε απόσταση μεγαλύτερη από δύο μέτρα από αυτόν μπορούσε να προσληφθεί ως φύλακας ασφαλείας μου υπαινίχθηκε ότι η δουλειά μας δεν ήταν να ασφαλίζουμε τίποτα, αλλά να παρουσιάζουμε στη δουλειά κάθε βράδυ, να γεμίζουμε το ογκώδες βιβλίο με αινιγματικές παρατηρήσεις όπως «Περιμετρική περιπολία 12.00 μ.μ., Κανένα Επείγον» και να πηγαίνουμε στο γραφείο κάθε δύο εβδομάδες για τους μισθούς μας και να ακούμε την ομιλητική κυρία Ελγκάσιερ.|Η ιστορία ενός καταπατητή|Άικ Ογκίν|unknown
00:00|0000-033|μεσάνυχτα|Είναι τα μεσάνυχτα της χρονιάς, και είναι της ημέρας, της Λούσι, που μόλις επτά ώρες αποκαλύπτει η ίδια· Ο ήλιος έχει σβήσει, και τώρα τα δοχεία του Στέλνουν ελαφριές ακτίνες, χωρίς συνεχείς ακτίνες·|Μια Νυχτερινή Ημέρα της Αγίας Λούσι|Τζον Ντον|unknown
00:00|0000-034|μεσάνυχτα|Τα μεσάνυχτα η γυναίκα του και η κόρη του μπορεί να ήταν ακόμα απασχολημένες, ετοιμάζοντας χριστουγεννιάτικες λιχουδιές στην κουζίνα, τακτοποιώντας το σπίτι ή ίσως ετοιμάζοντας τα κιμονό τους ή τακτοποιώντας λουλούδια. Ο Όκι καθόταν στο σαλόνι και άκουγε ραδιόφωνο. Καθώς χτυπούσαν οι καμπάνες, αναπολούσε τη χρονιά που έφευγε. Πάντα την έβρισκε μια συγκινητική εμπειρία.|Ομορφιά και Λύπη|Γιασουνάρι Καουαμπάτα|unknown
00:00|0000-035|δώδεκα|Μπερνάρντο: Τώρα χτύπησε δώδεκα· πήγαινε για ύπνο, Φρανσίσκο.|Άμλετ|Γουίλιαμ Σαίξπηρ|unknown
00:00|0000-036|μεσάνυχτα|Αλλά, ακόμα πιο περίεργο — το Μπιγκ Μπεν είχε χτυπήσει ξανά μεσάνυχτα. Η ώρα έξω εξακολουθούσε να αντιστοιχεί σε αυτήν που κατέγραφε το σταματημένο χρυσό ρολόι, μέσα. Το μέσα και το έξω ταίριαζαν ακριβώς, αλλά και τα δύο ήταν εντελώς λάθος. Χμμ.|Νύχτες στο Τσίρκο|Άντζελα Κάρτερ|sfw
00:00|0000-037|μεσάνυχτα|Αλλά στο τέλος κατάλαβα αυτή τη γλώσσα. Την κατάλαβα, την κατάλαβα, ίσως όλα λάθος. Δεν έχει σημασία αυτό. Μου είπε να γράψω την αναφορά. Αυτό σημαίνει ότι είμαι πιο ελεύθερος τώρα από ό,τι ήμουν; Δεν ξέρω. Θα μάθω. Μετά γύρισα στο σπίτι και έγραψα: Είναι μεσάνυχτα. Η βροχή χτυπάει τα παράθυρα. Δεν ήταν μεσάνυχτα. Δεν έβρεχε.|Μόλοϊ|Σάμιουελ Μπέκετ|unknown
00:00|0000-038|0000h.|Δεν επιτρέπονται κασέτες μετά τις 0000h., για την ενθάρρυνση του ύπνου.|Απείρως αστείο|Ντέιβιντ Φόστερ Γουάλας|unknown
00:00|0000-039|0000h.|Ο Γκέιτλι μπορεί να ακούσει τις κόρνες, τις υψωμένες φωνές και τις ουρλιαχτές από αναστροφή πολύ κάτω στην Ουάσινγκτον. Αυτό δείχνει ότι είναι γύρω στις 00:00, την ώρα αλλαγής κατεύθυνσης.|Απείρως αστεία|Ντέιβιντ Φόστερ Γουάλας|unknown
00:00|0000-040|δώδεκα|Άμλετ: Τι ώρα είναι τώρα; Οράτιος: Νομίζω ότι λείπει το δώδεκα. Μάρκελλος: Όχι, έχει χτυπηθεί.|Άμλετ|Γουίλιαμ Σαίξπηρ|unknown
00:00|0000-041|μεσάνυχτα|Είναι σίγουρος ότι άκουσε βήματα: πλησιάζουν και μετά σβήνουν. Η ακτίνα φωτός κάτω από την πόρτα του έχει σβήσει. Είναι μεσάνυχτα. Κάποιος έχει κλείσει το γκάζι. Ο τελευταίος υπηρέτης έχει πάει για ύπνο και πρέπει να κοιμηθεί όλη νύχτα σε αγωνία χωρίς κανείς να του φέρει βοήθεια.|Ο Δρόμος του Σουάν|Μαρσέλ Προυστ|unknown
00:00|0000-042|μεσάνυχτα|Συλλήφθηκα από τους ήχους των μεσονυχτίων στο ρολόι στο τζάκι στο δωμάτιο απέναντι από το διάδρομο. Το ρολόι κάποτε ανήκε στην προγιαγιά μου (μια γυναίκα που ονομαζόταν Άλις) και το κουρασμένο του κουδούνισμα με μετράει στον κόσμο.|Πίσω από τα παρασκήνια του Μουσείου|Κέιτ Άτκινσον|unknown
00:00|0000-043|δώδεκα|Την πήρα από το χέρι μου και της είπα να ηρεμήσει. Γιατί μια σειρά από ρίγη την έτριζαν και συνέχιζε να στρέφει το βλέμμα της προς το τζάμι.<br>«Δεν υπάρχει κανείς εδώ!» επέμεινα. «Ήσουν εσύ, κυρία Λίντον: το ξέρατε εδώ και καιρό».<br>«Εγώ!» ψέλλισε με μια κραυγή λαχανιασμένη, «και το ρολόι χτυπάει δώδεκα! Είναι αλήθεια, λοιπόν! Αυτό είναι φρικτό!»|Ανεμοδαρμένα Ύψη|Έμιλι Μπροντέ|unknown
00:00|0000-044|μεσάνυχτα|Γεννήθηκα στην πόλη της Βομβάης... Μεσάνυχτα, μάλιστα. Οι δείκτες του ρολογιού ένωσαν τις παλάμες τους σε σεβαστό χαιρετισμό καθώς ερχόμουν. Ω, γράψ' το, γράψ' το: την ακριβή στιγμή που η Ινδία έφτασε στην ανεξαρτησία, βγήκα στον κόσμο.|Τα παιδιά του μεσονυχτίου|Σαλμάν Ρούσντι|unknown
00:00|0000-045|μεσάνυχτα|Είναι μεσάνυχτα. Η βροχή χτυπάει τα παράθυρα. Είμαι ήρεμος. Όλα κοιμούνται. Παρ' όλα αυτά σηκώνομαι και πηγαίνω στο γραφείο μου. Δεν μπορώ να κοιμηθώ.|Μόλοϊ|Σάμιουελ Μπέκετ|unknown
00:00|0000-046|μεσάνυχτα|Τα μεσάνυχτα είχαν φτάσει στην πολυσύχναστη πόλη. Το παλάτι, το νυχτερινό κελάρι, η φυλακή, το τρελοκομείο· οι θάλαμοι της γέννησης και του θανάτου, της υγείας και της ασθένειας· το άκαμπτο πρόσωπο του πτώματος και ο ήρεμος ύπνος του παιδιού — τα μεσάνυχτα ήταν όλα πάνω τους.|Όλιβερ Τουίστ|Τσαρλς Ντίκενς|unknown
00:00|0000-047|μεσάνυχτα|Μια φορά κι ένα μουντό μεσάνυχτα,<br>ενώ συλλογιζόμουν αδύναμος και κουρασμένος,<br>Πάνω σε πολλούς γραφικούς και περίεργους τόμους ξεχασμένων παραδόσεων,<br>Ενώ έγνεψα καταφατικά, σχεδόν κοιμισμένος, ξαφνικά ακούστηκε ένα χτύπημα,<br>σαν κάποιος να χτυπάει απαλά, χτυπώντας την πόρτα του δωματίου μου.<br>«Είναι κάποιος επισκέπτης», μουρμούρισα, «χτυπώντας την πόρτα του δωματίου μου — Μόνο αυτό, και τίποτα περισσότερο.»|Το Κοράκι|Έντγκαρ Άλαν Πόε|unknown
00:00|0000-048|δώδεκα|Το ρολόι χτυπάει δώδεκα Ω, χτυπάει, χτυπάει! Τώρα σώμα, γύρισε στον αέρα, αλλιώς ο Εωσφόρος θα σε μεταφέρει γρήγορα στην κόλαση. Ω ψυχή, μεταμορφώσου σε μικρές σταγόνες νερού, και πέσε στον ωκεανό, αγνώριστος. Θεέ μου, Θεέ μου, μην με κοιτάς τόσο άγρια!|Δρ. Φάουστους|Κρίστοφερ Μάρλοου|unknown
00:00|0000-049|μεσάνυχτα|Την πρώτη νύχτα, μόλις ο δεκανέας οδήγησε τον θείο μου Τόμπι στις σκάλες, που ήταν περίπου 10 — η κυρία Γουάντμαν έπεσε στην πολυθρόνα της και σταυρώνοντας το αριστερό της γόνατο με το δεξί, το οποίο σχημάτιζε ένα σημείο ανάπαυσης για τον αγκώνα της, έγειρε το μάγουλό της στην παλάμη του χεριού της και, σκύβοντας προς τα εμπρός, συλλογίστηκε μέχρι τα μεσάνυχτα και τις δύο πλευρές του θέματος.|Η ζωή και οι απόψεις του κυρίου Τρίστραμ Σάντι|Λόρενς Στερν|unknown
00:00|0000-050|δώδεκα η ώρα|Για να ξεκινήσω τη ζωή μου με την αρχή της ζωής μου, καταγράφω ότι γεννήθηκα (όπως με έχουν πληροφορήσει και πιστεύω) Παρασκευή, στις δώδεκα η ώρα το βράδυ. Παρατηρήθηκε ότι το ρολόι άρχισε να χτυπάει και άρχισα να κλαίω ταυτόχρονα.|Ντέιβιντ Κόπερφιλντ|Τσαρλς Ντίκενς|unknown
00:00|0000-051|μεσάνυχτα|Ακούσαμε τα κουδούνια τα μεσάνυχτα.|Ερρίκος Δ΄|Γουίλιαμ Σαίξπηρ|unknown
00:00|0000-052|μεσάνυχτα|Ήταν σίγουρα μεσάνυχτα πια. Ένα μοναχικό πουλί φώναξε και τα δέντρα έλιωσαν μαζί σε μια απωθητική και εχθρική μάζα. Στον Σαβόνιους φαινόταν να ενσαρκώνουν αυτή τη θλιβερή περιπέτεια που του είχε επιβληθεί παρά τη θέλησή του. Κάπου σε αυτό το βαθύ δάσος βρισκόταν αυτός ο παράφρων άντρας που υποτίθεται ότι προσπαθούσε να παρηγορήσει και να ηρεμήσει.|Το Σφυρί του Θεού|Μπο Γκιερτζ|unknown
00:00|0000-053|μεσάνυχτα|Υπήρχε η μεσονύκτια πεζοπορία με τα αγόρια μέχρι το τέλος της παραλιακής λεωφόρου και ο μεγάλος καβγάς για την εκλογή οικονόμου. Τι είχε απογίνει η ευθύνη και η προσφορά; Και η αδελφική αγάπη;|Το Σφυρί του Θεού|Μπο Γκιερτζ|unknown
00:00|0000-054|μεσάνυχτα|«Εσύ κι εγώ σε ρωτάμε», απάντησε ο Δον Κιχώτης, «γιατί δεν είμαι ούτε μάρμαρο ούτε μπρούντζος, ούτε είναι δέκα η ώρα της ημέρας, αλλά μεσάνυχτα».|Δον Κιχώτης|Μιγκέλ ντε Θερβάντες|sfw
00:00|0000-055|μεσάνυχτα|«Θα αναφέρω», απάντησε ο Σάντσο· αλλά με τι υπομονή μπορώ να αντέξω που θέλεις το έλεός σου, που από τη στιγμή που είδα το σπίτι της αγάπης μας, πρέπει να το γνωρίσω και να το βρω τα μεσάνυχτα, όχι να το βρω το έλεός σου, που πρέπει να το έχω δει χιλιάδες φορές;|Δον Κιχώτης|Μιγκέλ ντε Θερβάντες|sfw
00:00|0000-056|Μισή νύχτα|Μισή νύχτα ήταν για την άκρη, λίγο ακόμα, όταν ο Δον Κιχώτης και ο Σάντσο έφυγαν από το βουνό και μπήκαν στο Τομπόσο.|Δον Κιχώτης|Μιγκέλ ντε Θερβάντες|sfw
00:00|0000-057|δώδεκα|«Και βαριέσαι πολύ;»<br>«Κανονικά. Έχω οργανώσει τη ζωή μου σαν βιομήχανου. Κάθε μέρα ξαπλώνω στις δώδεκα και σηκώνομαι στις εννέα το πρωί.»|Οι Επτά Τρελοί|Roberto Arlt|sfw
00:00|0000-058|στην καρδιά της νύχτας|Αυτή, σκαλισμένη στην καρδιά της νύχτας<br>για την ανησυχία των παραισθησιογόνων ματιών μου:<br>αυτή, καταγεγραμμένη στα δάση του δάσους<br>από τα μαχαίρια των χεριών μου|Το ενθουσιώδες βάθος|Πάμπλο Νερούδα|sfw
00:01|0001-000|ένα λεπτό μετά τα μεσάνυχτα|«Ίσως. Αλλά ίσως θα ήταν συνετό να τους προειδοποιήσω ότι ένιωσα ότι ήταν καθήκον μου να ενημερώσω τις φορολογικές αρχές για την παρουσία σας στο Μπρίστολ, οπότε μην εκπλαγείτε αν η αστυνομία επιβιβαστεί στο γιοτ σας ένα λεπτό μετά τα μεσάνυχτα και το κατάσχει.»|Αυτός ήταν ένας άνθρωπος|Τζέφρι Άρτσερ|sfw
00:01|0001-001|ένα λεπτό μετά τα μεσάνυχτα|Φορούσε ρολόι. Όχι ψηφιακό, σε αυτή τη ζωή. Ένα κομψό, λεπτό αναλογικό, με λατινικούς αριθμούς. Ήταν περίπου ένα λεπτό μετά τα μεσάνυχτα.<br>Πώς συμβαίνει αυτό;|Η Βιβλιοθήκη του Μεσονυχτίου|Ματ Χέιγκ|unknown
00:01|0001-002|ένα λεπτό μετά τα μεσάνυχτα|Με την καθορισμένη ώρα εκτέλεσης, ένα λεπτό μετά τα μεσάνυχτα, να απέχει μόλις λίγα δευτερόλεπτα, χτύπησα την μεταλλική πόρτα δύο φορές. Η κλειδαριά γύρισε και η πόρτα άνοιξε γρήγορα.|Θάνατος τα μεσάνυχτα|Ντόναλντ Α. Καμπάνα|unknown
